STATION,NAME,DATE,PGTM,PRCP,SNOW,TMAX,TMIN,TSUN
USW00094818,"RACINE BATTEN AIRPORT, WI US",9/4/2000,203,0.05,,66,59,0
USW00094818,"RACINE BATTEN AIRPORT, WI US",9/5/2000,842,0,,63,58,0
USW00094818,"RACINE BATTEN AIRPORT, WI US",9/6/2000,1213,0,,68,57,
USW00094818,"RACINE BATTEN AIRPORT, WI US",9/7/2000,1101,0,,85,60,
USW00094818,"RACINE BATTEN AIRPORT, WI US",9/8/2000,2022,0.02,,72,65,
USW00094818,"RACINE BATTEN AIRPORT, WI US",9/9/2000,1207,0,,80,64,
USW00094818,"RACINE BATTEN AIRPORT, WI US",9/10/2000,1413,0.24,,81,71,
USW00094818,"RACINE BATTEN AIRPORT, WI US",9/11/2000,1655,2.1,,78,63,
USW00094818,"RACINE BATTEN AIRPORT, WI US",9/12/2000,417,0.02,,68,54,
USW00094818,"RACINE BATTEN AIRPORT, WI US",9/13/2000,1412,0,,78,51,
USW00094818,"RACINE BATTEN AIRPORT, WI US",9/14/2000,1600,0.66,,71,54,
USW00094818,"RACINE BATTEN AIRPORT, WI US",9/15/2000,1203,0,,59,47,
USW00094818,"RACINE BATTEN AIRPORT, WI US",9/16/2000,2105,0,,66,43,
USW00094818,"RACINE BATTEN AIRPORT, WI US",9/17/2000,757,0,,77,53,
USW00094818,"RACINE BATTEN AIRPORT, WI US",9/18/2000,1402,0,,85,51,
USW00094818,"RACINE BATTEN AIRPORT, WI US",9/19/2000,1021,0,,83,61,
USW00094818,"RACINE BATTEN AIRPORT, WI US",9/20/2000,2238,0.55,,62,47,0
USW00094818,"RACINE BATTEN AIRPORT, WI US",9/21/2000,833,0,,61,44,0
USW00094818,"RACINE BATTEN AIRPORT, WI US",9/22/2000,1246,1.61,,60,53,0
USW00094818,"RACINE BATTEN AIRPORT, WI US",9/23/2000,2342,0.2,,62,53,0
USW00094818,"RACINE BATTEN AIRPORT, WI US",9/24/2000,26,0.07,,54,45,
USW00094818,"RACINE BATTEN AIRPORT, WI US",9/25/2000,931,0,,56,42,
USW00094818,"RACINE BATTEN AIRPORT, WI US",9/26/2000,1337,0,,68,42,
USW00094818,"RACINE BATTEN AIRPORT, WI US",9/27/2000,1505,0,,61,48,0
USW00094818,"RACINE BATTEN AIRPORT, WI US",9/28/2000,1342,0,,58,47,0
USW00094818,"RACINE BATTEN AIRPORT, WI US",9/29/2000,1220,0,,72,47,0
USW00094818,"RACINE BATTEN AIRPORT, WI US",9/30/2000,905,0,,74,56,0
USW00094818,"RACINE BATTEN AIRPORT, WI US",10/1/2000,1307,0,,80,60,0
USW00094818,"RACINE BATTEN AIRPORT, WI US",10/2/2000,526,0.01,,76,53,0
USW00094818,"RACINE BATTEN AIRPORT, WI US",10/3/2000,2230,0.35,,68,50,0
USW00094818,"RACINE BATTEN AIRPORT, WI US",10/4/2000,930,0.04,,58,47,0
USW00094818,"RACINE BATTEN AIRPORT, WI US",10/5/2000,1704,0.32,,56,45,0
USW00094818,"RACINE BATTEN AIRPORT, WI US",10/6/2000,1316,0,,46,33,0
USW00094818,"RACINE BATTEN AIRPORT, WI US",10/7/2000,1708,0.15,,48,30,0
USW00094818,"RACINE BATTEN AIRPORT, WI US",10/8/2000,1045,0,,46,32,0
USW00094818,"RACINE BATTEN AIRPORT, WI US",10/9/2000,1410,0,,57,31,0
USW00094818,"RACINE BATTEN AIRPORT, WI US",10/10/2000,1521,0,,61,35,0
USW00094818,"RACINE BATTEN AIRPORT, WI US",10/11/2000,1416,0,,66,40,
USW00094818,"RACINE BATTEN AIRPORT, WI US",10/12/2000,1309,0,,71,41,
USW00094818,"RACINE BATTEN AIRPORT, WI US",10/13/2000,1259,0,,76,54,
USW00094818,"RACINE BATTEN AIRPORT, WI US",10/14/2000,159,0,,76,58,
USW00094818,"RACINE BATTEN AIRPORT, WI US",10/15/2000,920,0,,60,42,
USW00094818,"RACINE BATTEN AIRPORT, WI US",10/16/2000,1247,0,,57,40,
USW00094818,"RACINE BATTEN AIRPORT, WI US",10/17/2000,1047,0,,57,40,
USW00094818,"RACINE BATTEN AIRPORT, WI US",10/18/2000,1423,0,,70,43,
USW00094818,"RACINE BATTEN AIRPORT, WI US",10/19/2000,2024,0,,68,46,0
USW00094818,"RACINE BATTEN AIRPORT, WI US",10/20/2000,1341,0,,77,55,0
USW00094818,"RACINE BATTEN AIRPORT, WI US",10/21/2000,1601,0,,60,50,0
USW00094818,"RACINE BATTEN AIRPORT, WI US",10/22/2000,823,0,,59,52,0
USW00094818,"RACINE BATTEN AIRPORT, WI US",10/23/2000,1634,0,,62,55,0
USW00094818,"RACINE BATTEN AIRPORT, WI US",10/24/2000,1329,0,,64,54,0
USW00094818,"RACINE BATTEN AIRPORT, WI US",10/25/2000,2345,0,,62,54,0
USW00094818,"RACINE BATTEN AIRPORT, WI US",10/26/2000,1718,0,,74,58,
USW00094818,"RACINE BATTEN AIRPORT, WI US",10/27/2000,2026,0,,68,49,
USW00094818,"RACINE BATTEN AIRPORT, WI US",10/28/2000,0,0,,50,43,
USW00094818,"RACINE BATTEN AIRPORT, WI US",10/29/2000,2043,0,,53,46,
